vehicleVelocity,relativeVelocity,windVelocity,temperature,pressure,humidity,aqi
70,85,2,17.65,68,52.45,27
89,13,4,5.48,98,62.21,8
72,7,6,21.23,27,66.76,23
42,81,8,0.11,82,40.12,59
72,7,10,21.23,27,66.76,23
42,81,12,0.11,82,40.12,59
70,85,14,17.65,68,52.45,27
89,13,16,5.48,98,62.21,8
72,7,18,21.23,27,66.76,23
42,81,20,0.11,82,40.12,59
72,7,22,21.23,27,66.76,23
42,81,24,0.11,82,40.12,59
70,85,26,17.65,68,52.45,27
89,13,28,5.48,98,62.21,8
72,7,30,21.23,27,66.76,23
42,81,32,0.11,82,40.12,59
70,85,34,17.65,68,52.45,27
89,13,36,5.48,98,62.21,8

